"chr","start","end","methodname"
"chr6",30709428,30712680,"bumphunter"
"chr6",32119616,32123701,"bumphunter"
"chr6",133561614,133562776,"bumphunter"
"chr6",29974022,29975905,"bumphunter"
"chr12",115134148,115136308,"bumphunter"
"chr6",31830364,31830947,"bumphunter"
"chr17",1956668,1958206,"bumphunter"
"chr6",29520965,29521803,"bumphunter"
"chr7",95025194,95026672,"bumphunter"
"chr7",99155673,99157059,"bumphunter"
"chr13",78491982,78494462,"bumphunter"
"chr6",30094947,30095802,"bumphunter"
"chr2",201450323,201451303,"bumphunter"
"chr3",25469125,25469991,"bumphunter"
"chr11",14993378,14995770,"bumphunter"
"chr12",4381435,4382425,"bumphunter"
"chr5",112073348,112074043,"bumphunter"
"chr6",33160067,33161849,"bumphunter"
"chr3",125899086,125900108,"bumphunter"
"chr6",30042137,30044259,"bumphunter"
"chr7",28996196,28998860,"bumphunter"
"chr6",31831340,31831803,"bumphunter"
"chr15",45421578,45422553,"bumphunter"
"chr16",88717134,88717989,"bumphunter"
"chr1",33937646,33938307,"bumphunter"
"chr7",29185965,29186629,"bumphunter"
"chr4",154710224,154711183,"bumphunter"
"chr5",137610127,137610645,"bumphunter"
"chr12",81471311,81472177,"bumphunter"
"chr6",27840957,27841865,"bumphunter"
"chr11",86382900,86383940,"bumphunter"
"chr6",30038754,30039801,"bumphunter"
"chr6",30418508,30419612,"bumphunter"
"chr2",154333269,154336401,"bumphunter"
"chr14",91579859,91580613,"bumphunter"
"chr7",116164422,116165142,"bumphunter"
"chr5",140810051,140811642,"bumphunter"
"chr10",118031632,118034031,"bumphunter"
"chr7",130129946,130132790,"bumphunter"
"chr7",79083408,79084166,"bumphunter"
"chr2",43019484,43020682,"bumphunter"
"chr6",31695903,31698226,"bumphunter"
"chr6",28979210,28979498,"bumphunter"
"chr7",134143823,134144288,"bumphunter"
"chr17",41363502,41364121,"bumphunter"
"chr15",45406327,45406939,"bumphunter"
"chr3",136537607,136539328,"bumphunter"
"chr11",66034681,66035910,"bumphunter"
"chr5",146257347,146258785,"bumphunter"
"chr14",85995655,85996873,"bumphunter"
"chr3",181443800,181445647,"bumphunter"
"chr7",45960834,45962236,"bumphunter"
"chr4",5709858,5710411,"bumphunter"
"chr16",51183988,51185772,"bumphunter"
"chr3",139257713,139258948,"bumphunter"
"chr13",36871646,36872346,"bumphunter"
"chr6",28557047,28558113,"bumphunter"
"chr6",21666391,21667407,"bumphunter"
"chr5",180017623,180018735,"bumphunter"
"chr14",24803679,24804342,"bumphunter"
"chr7",27183133,27185512,"bumphunter"
"chr19",58220080,58220837,"bumphunter"
"chr13",43148017,43149281,"bumphunter"
"chr1",58715499,58716662,"bumphunter"
"chr15",39872772,39873553,"bumphunter"
"chr3",48632484,48633441,"bumphunter"
"chr6",10886967,10887672,"bumphunter"
"chr17",44896017,44896424,"bumphunter"
"chr15",90039409,90039913,"bumphunter"
"chr20",25129126,25129562,"bumphunter"
"chr7",27195918,27196825,"bumphunter"
"chr11",2889602,2890725,"bumphunter"
"chr12",54446944,54448265,"bumphunter"
"chr3",44626029,44626860,"bumphunter"
"chr6",28574471,28574981,"bumphunter"
"chr17",33700180,33700817,"bumphunter"
"chr3",140769610,140771786,"bumphunter"
"chr15",89951787,89953370,"bumphunter"
"chr7",93203695,93205295,"bumphunter"
"chr20",44098223,44098409,"bumphunter"
"chr18",28621985,28623159,"bumphunter"
"chr3",147125712,147127193,"bumphunter"
"chr12",21927425,21927990,"bumphunter"
"chr2",191044915,191045885,"bumphunter"
"chr5",96038240,96039066,"bumphunter"
"chr6",32223076,32223341,"bumphunter"
"chr13",43565901,43566902,"bumphunter"
"chr1",201252200,201253537,"bumphunter"
"chr13",96204493,96205295,"bumphunter"
"chr1",66998484,66999929,"bumphunter"
"chr13",97646341,97647084,"bumphunter"
"chr12",21809973,21811034,"bumphunter"
"chr6",28367070,28367898,"bumphunter"
"chr6",10881782,10882336,"bumphunter"
"chr17",46655164,46656093,"bumphunter"
"chr2",29337946,29338432,"bumphunter"
"chr6",44186914,44187674,"bumphunter"
"chr2",27529325,27531535,"bumphunter"
"chr8",57358130,57359414,"bumphunter"
"chr1",169396706,169396909,"bumphunter"
"chr12",54070114,54071194,"bumphunter"
"chr12",22093960,22095330,"bumphunter"
"chr6",28956226,28956804,"bumphunter"
"chr4",15779642,15781202,"bumphunter"
"chr3",187455371,187456893,"bumphunter"
"chr15",72667883,72668720,"bumphunter"
"chr2",17699620,17700224,"bumphunter"
"chr5",59188920,59189934,"bumphunter"
"chr6",5995766,5997375,"bumphunter"
"chr8",23563572,23564717,"bumphunter"
"chr16",31213481,31214880,"bumphunter"
"chr17",75315081,75315868,"bumphunter"
"chr3",134369339,134370241,"bumphunter"
"chr20",57425979,57427274,"bumphunter"
"chr7",19156550,19158954,"bumphunter"
"chr18",12253859,12254976,"bumphunter"
"chr19",52390810,52391789,"bumphunter"
"chr10",100993553,100994478,"bumphunter"
"chr11",12030088,12031508,"bumphunter"
"chr5",71014736,71015523,"bumphunter"
"chr5",161274307,161276001,"bumphunter"
"chr1",186649153,186649985,"bumphunter"
"chr11",35160330,35161345,"bumphunter"
"chr7",137028165,137028617,"bumphunter"
"chr6",29594830,29595661,"bumphunter"
"chr6",33047944,33048879,"bumphunter"
"chr14",55595666,55596862,"bumphunter"
"chr5",134871462,134872957,"bumphunter"
"chr3",62359390,62360893,"bumphunter"
"chr2",182321354,182322841,"bumphunter"
"chr1",9884565,9884732,"bumphunter"
"chr11",10326100,10327138,"bumphunter"
"chr7",27154262,27155548,"bumphunter"
"chr4",57975793,57976944,"bumphunter"
"chr7",97361026,97361408,"bumphunter"
"chr2",96990549,96991327,"bumphunter"
"chr17",53342593,53343561,"bumphunter"
"chr11",111410935,111411381,"bumphunter"
"chr19",51522454,51523252,"bumphunter"
"chr13",79169714,79171679,"bumphunter"
"chr11",20690628,20691429,"bumphunter"
"chr7",49812836,49813111,"bumphunter"
"chr1",45792540,45793300,"bumphunter"
"chr15",89438611,89438964,"bumphunter"
"chr7",15725086,15726821,"bumphunter"
"chr6",152127812,152129036,"bumphunter"
"chr18",59560091,59560495,"bumphunter"
"chr12",103889042,103890274,"bumphunter"
"chr4",85416865,85418816,"bumphunter"
"chr2",228736089,228736459,"bumphunter"
"chr6",2841468,2842359,"bumphunter"
"chr7",14028690,14029701,"bumphunter"
"chr13",37004536,37005582,"bumphunter"
"chr10",17270087,17270601,"bumphunter"
"chr4",110222806,110224288,"bumphunter"
"chr16",67203753,67204807,"bumphunter"
"chr10",123922620,123923518,"bumphunter"
"chr1",156357839,156358612,"bumphunter"
"chr6",26188969,26189597,"bumphunter"
"chr12",104697193,104697620,"bumphunter"
"chr10",30723347,30724374,"bumphunter"
"chr11",105481283,105481988,"bumphunter"
